Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01002453,Multi-person household,9
E01002454,Does not apply,0
E01002454,One-person household,149
E01002454,Married or civil partnership couple household,299
E01002454,Cohabiting couple household,71
E01002454,Lone parent household,112
E01002454,Multi-person household,21
E01002455,Does not apply,0
E01002455,One-person household,162
E01002455,Married or civil partnership couple household,330
E01002455,Cohabiting couple household,63
E01002455,Lone parent household,120
E01002455,Multi-person household,23
E01002456,Does not apply,0
E01002456,One-person household,166
E01002456,Married or civil partnership couple household,305
E01002456,Cohabiting couple household,55
E01002456,Lone parent household,94
E01002456,Multi-person household,15
E01002457,Does not apply,0
E01002457,One-person household,79
E01002457,Married or civil partnership couple household,246
E01002457,Cohabiting couple household,48
E01002457,Lone parent household,121
E01002457,Multi-person household,34
E01002458,Does not apply,0
E01002458,One-person household,97
E01002458,Married or civil partnership couple household,351
E01002458,Cohabiting couple household,37
E01002458,Lone parent household,40
E01002458,Multi-person household,7
E01002459,Does not apply,0
E01002459,One-person household,131
E01002459,Married or civil partnership couple household,401
E01002459,Cohabiting couple household,52
E01002459,Lone parent household,38
E01002459,Multi-person household,9
E01002460,Does not apply,0
E01002460,One-person household,217
E01002460,Married or civil partnership couple household,276
E01002460,Cohabiting couple household,62
E01002460,Lone parent household,46
E01002460,Multi-person household,16
E01002461,Does not apply,0
E01002461,One-person household,102
E01002461,Married or civil partnership couple household,336
E01002461,Cohabiting couple household,24
E01002461,Lone parent household,58
E01002461,Multi-person household,7
E01002462,Does not apply,0
E01002462,One-person household,86
E01002462,Married or civil partnership couple household,342
E01002462,Cohabiting couple household,43
E01002462,Lone parent household,46
E01002462,Multi-person household,8
E01002463,Does not apply,0
E01002463,One-person household,91
E01002463,Married or civil partnership couple household,337
E01002463,Cohabiting couple household,39
E01002463,Lone parent household,49
E01002463,Multi-person household,6
E01002464,Does not apply,0
E01002464,One-person household,146
E01002464,Married or civil partnership couple household,338
E01002464,Cohabiting couple household,65
E01002464,Lone parent household,67
E01002464,Multi-person household,6
E01002465,Does not apply,0
E01002465,One-person household,152
E01002465,Married or civil partnership couple household,270
E01002465,Cohabiting couple household,85
E01002465,Lone parent household,118
E01002465,Multi-person household,15
E01002466,Does not apply,0
E01002466,One-person household,114
E01002466,Married or civil partnership couple household,347
E01002466,Cohabiting couple household,99
E01002466,Lone parent household,61
E01002466,Multi-person household,10
E01002467,Does not apply,0
E01002467,One-person household,165
E01002467,Married or civil partnership couple household,346
E01002467,Cohabiting couple household,56
E01002467,Lone parent household,50
E01002467,Multi-person household,8
E01002468,Does not apply,0
E01002468,One-person household,130
E01002468,Married or civil partnership couple household,353
E01002468,Cohabiting couple household,74
E01002468,Lone parent household,66
E01002468,Multi-person household,14
E01002469,Does not apply,0
E01002469,One-person household,142
E01002469,Married or civil partnership couple household,357
E01002469,Cohabiting couple household,69
E01002469,Lone parent household,59
E01002469,Multi-person household,16
E01002470,Does not apply,0
E01002470,One-person household,191
E01002470,Married or civil partnership couple household,332
E01002470,Cohabiting couple household,71
E01002470,Lone parent household,88
E01002470,Multi-person household,30
E01002471,Does not apply,0
E01002471,One-person household,143
E01002471,Married or civil partnership couple household,342
E01002471,Cohabiting couple household,75
E01002471,Lone parent household,64
E01002471,Multi-person household,11
E01002472,Does not apply,0
E01002472,One-person household,330
E01002472,Married or civil partnership couple household,300
E01002472,Cohabiting couple household,69
E01002472,Lone parent household,79
E01002472,Multi-person household,25
E01002473,Does not apply,0
E01002473,One-person household,193
E01002473,Married or civil partnership couple household,418
E01002473,Cohabiting couple household,24
E01002473,Lone parent household,40
E01002473,Multi-person household,7
E01002474,Does not apply,0
E01002474,One-person household,180
E01002474,Married or civil partnership couple household,343
E01002474,Cohabiting couple household,62
E01002474,Lone parent household,79
E01002474,Multi-person household,27
E01002475,Does not apply,0
E01002475,One-person household,271
E01002475,Married or civil partnership couple household,298
E01002475,Cohabiting couple household,58
E01002475,Lone parent household,69
E01002475,Multi-person household,14
E01002476,Does not apply,0
E01002476,One-person household,144
E01002476,Married or civil partnership couple household,402
E01002476,Cohabiting couple household,26
E01002476,Lone parent household,52
E01002476,Multi-person household,9
E01002477,Does not apply,0
E01002477,One-person household,185
E01002477,Married or civil partnership couple household,286
E01002477,Cohabiting couple household,33
E01002477,Lone parent household,51
E01002477,Multi-person household,13
E01002478,Does not apply,0
E01002478,One-person household,215
E01002478,Married or civil partnership couple household,317
E01002478,Cohabiting couple household,48
E01002478,Lone parent household,73
E01002478,Multi-person household,16
E01002479,Does not apply,0
E01002479,One-person household,157
E01002479,Married or civil partnership couple household,333
E01002479,Cohabiting couple household,57
E01002479,Lone parent household,103
E01002479,Multi-person household,9
E01002480,Does not apply,0
E01002480,One-person household,146
E01002480,Married or civil partnership couple household,411
E01002480,Cohabiting couple household,58
E01002480,Lone parent household,64
E01002480,Multi-person household,16
E01002481,Does not apply,0
E01002481,One-person household,190
E01002481,Married or civil partnership couple household,285
E01002481,Cohabiting couple household,60
E01002481,Lone parent household,102
E01002481,Multi-person household,16
E01002482,Does not apply,0
E01002482,One-person household,124
E01002482,Married or civil partnership couple household,424
E01002482,Cohabiting couple household,20
E01002482,Lone parent household,47
E01002482,Multi-person household,7
E01002483,Does not apply,0
E01002483,One-person household,193
E01002483,Married or civil partnership couple household,374
E01002483,Cohabiting couple household,56
E01002483,Lone parent household,79
E01002483,Multi-person household,26
E01002484,Does not apply,0
E01002484,One-person household,189
E01002484,Married or civil partnership couple household,233
E01002484,Cohabiting couple household,53
E01002484,Lone parent household,89
E01002484,Multi-person household,16
E01002485,Does not apply,0
E01002485,One-person household,256
E01002485,Married or civil partnership couple household,377
E01002485,Cohabiting couple household,62
E01002485,Lone parent household,118
E01002485,Multi-person household,22
E01002486,Does not apply,0
E01002486,One-person household,131
E01002486,Married or civil partnership couple household,357
E01002486,Cohabiting couple household,49
E01002486,Lone parent household,132
E01002486,Multi-person household,21
E01002487,Does not apply,0
E01002487,One-person household,166
E01002487,Married or civil partnership couple household,317
E01002487,Cohabiting couple household,37
E01002487,Lone parent household,89
E01002487,Multi-person household,18
E01002488,Does not apply,0
E01002488,One-person household,79
E01002488,Married or civil partnership couple household,308
E01002488,Cohabiting couple household,30
E01002488,Lone parent household,89
E01002488,Multi-person household,21
E01002489,Does not apply,0
E01002489,One-person household,101
E01002489,Married or civil partnership couple household,329
