Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01003464,Economically active: In employment (including full-time students),564
E01003464,Economically active: Unemployed (including full-time students),28
E01003464,Economically inactive,566
E01003465,Does not apply,240
E01003465,Economically active: In employment (including full-time students),534
E01003465,Economically active: Unemployed (including full-time students),20
E01003465,Economically inactive,517
E01003466,Does not apply,346
E01003466,Economically active: In employment (including full-time students),907
E01003466,Economically active: Unemployed (including full-time students),47
E01003466,Economically inactive,411
E01003467,Does not apply,379
E01003467,Economically active: In employment (including full-time students),870
E01003467,Economically active: Unemployed (including full-time students),33
E01003467,Economically inactive,483
E01003468,Does not apply,410
E01003468,Economically active: In employment (including full-time students),897
E01003468,Economically active: Unemployed (including full-time students),39
E01003468,Economically inactive,418
E01003469,Does not apply,331
E01003469,Economically active: In employment (including full-time students),892
E01003469,Economically active: Unemployed (including full-time students),51
E01003469,Economically inactive,377
E01003470,Does not apply,347
E01003470,Economically active: In employment (including full-time students),1051
E01003470,Economically active: Unemployed (including full-time students),61
E01003470,Economically inactive,539
E01003471,Does not apply,348
E01003471,Economically active: In employment (including full-time students),895
E01003471,Economically active: Unemployed (including full-time students),50
E01003471,Economically inactive,430
E01003472,Does not apply,375
E01003472,Economically active: In employment (including full-time students),691
E01003472,Economically active: Unemployed (including full-time students),30
E01003472,Economically inactive,256
E01003473,Does not apply,291
E01003473,Economically active: In employment (including full-time students),837
E01003473,Economically active: Unemployed (including full-time students),39
E01003473,Economically inactive,305
E01003474,Does not apply,295
E01003474,Economically active: In employment (including full-time students),656
E01003474,Economically active: Unemployed (including full-time students),19
E01003474,Economically inactive,385
E01003476,Does not apply,293
E01003476,Economically active: In employment (including full-time students),695
E01003476,Economically active: Unemployed (including full-time students),51
E01003476,Economically inactive,296
E01003477,Does not apply,330
E01003477,Economically active: In employment (including full-time students),893
E01003477,Economically active: Unemployed (including full-time students),30
